"CodGru";"DesGru";"DataCadastro";"SitTri";"PercDescAuto";"PercDescMax";"PercComGru";"TicketsPorta";"PadraoImpressora";"TicketsColunas";"TicketsSalto";"ItGuilhotina";"bxObserv";"bxDivPizza";"mgv5_depto";"mgv5_tipo_etiq";"mgv5_dias_validade";"mgv5_tipo_prod";"smart_tipo_prod";"smart_dias_validade"
"1";"MEDICAMENTOS";"30/09/2010";"03";"0";"0";"0";"";"";"";"";"";"";"";"0";"0";"0";"0";"";"0"
"2";"RACAO";"30/09/2010";"03";"0";"0";"0";"";"";"";"";"";"";"";"0";"0";"0";"0";"";"0"
"3";"GERAL";"";"03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"SELARIA";"";"03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"BOTINAS";"";"03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"UZ";"15/09/2018";"";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"7";"MOVEIS";"";"03";"0";"0";"0";"";"0";"38";"0";"False";"False";"False";"0";"0";"0";"0";"";"0"
"8";"COLCHOARIA";"";"03";"0";"0";"0";"";"0";"38";"0";"False";"False";"False";"0";"0";"0";"0";"";"0"
"9";"BONES/CHAPEIS/CINTOS";"";"03";"0";"0";"0";"";"0";"38";"0";"False";"False";"False";"0";"0";"0";"0";"";"0"
"10";"SOFA, PUFE E ALMOFADA";"";"03";"0";"0";"0";"";"0";"38";"0";"False";"False";"False";"0";"0";"0";"1";"";"0"
"11";"ELETRO";"";"03";"0";"0";"0";"";"0";"38";"0";"False";"False";"False";"0";"0";"0";"0";"";"0"
"12";"TCIL";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"13";"MOVAL";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"14";"JCM";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"15";"LUCKSPUMA";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"16";"JB";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"17";"ORTOBOM";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"18";"ITATIAIA";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"19";"TEIXEIRA";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"1";"";"0"
"20";"BENETIL";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"21";"NOVO HORIZONTE";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"22";"SOMA";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"23";"IMOP";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"24";"HENN";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"25";"NESHER";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"26";"RUFATO";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"27";"CHF";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"28";"KAPPESBERG";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"29";"VIEIRO";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"30";"SALLETO";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"31";"VALDEMOVEIS";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"32";"GENIAL FLEX";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"33";"KAIKI";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"34";"SENA DEC";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"35";"PATRIMAR";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"36";"PRIMUS";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
"37";"JC ESPINOSA";"09/10/2023";"03";"0";"0";"0";"";"0";"48";"8";"False";"False";"False";"0";"0";"0";"0";"";"0"
