"CodPro";"CodGru";"CodSim";"DesPro";"TipPro";"ConEst";"PcoCom";"PcoCus";"PcoVen";"PcoAta";"PcoDif";"EstAtu";"EstRep";"DataInicial";"EstqInicial";"DtUCom";"DtUltQue";"DtUVen";"CodFor";"LerPeso";"PerIcmEnt";"PerFrete";"PerAcrFin";"PerOutros";"PerLucCus";"PerLucVen";"PerLucCusAta";"PerLucVenAta";"PerLucCusDif";"PerLucVenDif";"PerIcmVen";"PerIpi";"PerOutrosPreco";"Indexador";"SitTri";"Unidade";"Observ";"Local";"Inativo";"DataCadastro";"NCM_SH";"cest";"CST";"CFOP";"PerPis";"PerConfins";"ExtIpi";"Genero";"CSTIpi";"CSTPis";"CSTCofins";"RedBcIcms";"STIcms";"OriMerc";"CSOSimples";"AliqCred";"VrCredAprov";"IAT";"IPPT";"Sequencial";"Controle";"CSTIpiEntrada";"CSTPisEntrada";"CSTCofinsEntrada";"CSTEntrada";"CSOSimplesEntrada";"CProdANP";"ItSomenteInteiro";"NatOpePis";"NatOpeCofins";"CFOPCompras";"dias_validade";"MED_LAB";"MED_DTVIG";"MED_CTR";"MED_TIPMED";"MED_PRINCI";"MED_REGIMS";"ABCFARMA_COMP";"dtvencimento";"CodDep";"DtUltCus";"DtUltVar";"DtUltAta";"DtUltDif";"PcoProm";"QntProm";"ItFrenteLoja";"DtUltProm";"XML_VrFreteItem";"XML_VrSegItem";"XML_VrOutroItem";"XML_VrIcmsSubsItem";"XML_VrIPI";"XML_ICMSAnt";"XML_ICMSRecolhido";"PesoTransp";"AliquotaFCP";"AliquotaFCPSt";"ItIsentoFCP";"cBenef"
"1";"7";"0";"MESA CENTRO NEW YORK 35CM AMARELO/IMBUIA";"V";"S";"";"10";"220";"0";"0";"1";"0";"";"";"25/11/2020";"";"07/04/2020";"0";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94036000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"ÀÄ°ÃÆÅÄÆ¶ÆÄ´ÀÄ´³Ã°±ÂÌÌÌÄÃÁÆÆÅ¶³À";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"25/11/2020";"25/11/2020";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"2";"41";"0";"SOFA 3X2 LUG MP260 MA05 AZUL";"V";"S";"";"884";"1790";"0";"0";"1";"0";"";"";"29/08/2024";"19/01/2017";"13/07/2019";"126";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"03";"UND";"";"";"False";"";"94016100";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"ÆÆÃ¶¶Í±Å±ÍÇÃÅ°ÃÀ°ÄÄÆÃÀ¶ÍÂÌ³±°±ÅÌ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"29/08/2024";"29/08/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"3";"10";"0";"SOFA CANTO TORONTO 14 CINZA ESCU";"V";"S";"";"810";"1590";"0";"0";"1";"0";"";"";"26/04/2023";"01/12/2016";"03/09/2024";"0";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94016100";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"·Æ·Ì±Í±ÅÃÄ°ÍÇÅÂÇÄÃÂÍÀÂ³ÁÁÌÇÄ±ÄÂÁ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"26/04/2023";"26/04/2023";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"4";"19";"0";"MESA MADRI C/4 CAD 1,2 BCA C RATAN CZ GRANITO";"V";"S";"";"305,59";"630";"0";"0";"0";"0";"13/10/2023";"0";"07/12/2017";"19/06/2018";"17/12/2019";"39";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94032000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"·Ì´ÀÀ¶±¶ÇÃÁÆÅÁÅÃÃÃ·ÁÂ¶ÀÌ´¶ÁÂÂÆ¶±";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"13/10/2023";"30/07/2019";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"5";"25";"0";"PANELEIRO IMPERATRIZ FREIJO/OFF";"V";"S";"";"647,86";"1300";"0";"0";"7";"0";"19/10/2010";"0";"22/08/2023";"";"28/02/2024";"34";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"Í³·À±³Á·Â·±Æ¶³¶Ì°°ÂÁ°¶Â±ÌÀÇÃÁ³ÌÇ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"17/10/2023";"09/02/2023";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"9";"24";"0";"SAPATEIRA DUETO BRANCO";"V";"S";"";"334,18";"630";"0";"0";"-1";"0";"24/03/2023";"0";"25/11/2021";"27/09/2016";"09/08/2024";"10";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94035000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"±ÂÃ°ÁÍ°ÌÃÃÌ³·ÀÁÅÁÇÄ·Í·°·Â³ÂÆ³Ã´·";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"16/10/2023";"05/10/2021";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"10";"14";"0";"MESA HARPA CINA/OFF 4CAD DIAMANTE";"V";"S";"";"1028,74";"2100";"0";"0";"5";"0";"";"";"16/09/2024";"27/09/2016";"08/05/2024";"104";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94036000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"ÂÁ±¶ÆÇÅ°³À°ÍÃÌÆÍÍ·¶°··À´Ã±ÍÁÁÃÆ´";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"12/09/2024";"12/09/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"12";"59";"0";"SOFA CANTO MILLA BORDO VELUDINHO";"V";"S";"";"786";"1390";"0";"0";"0";"0";"";"";"23/06/2022";"29/06/2011";"22/06/2022";"110";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94016100";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"·Á¶ÁÅ´¶·´ÅÁÅÇ°À±À°ÂÅÍÆÄÆ³¶Ä´ÄÍ°±";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"23/10/2021";"23/10/2021";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"13";"14";"0";"ESCRIVANINHA ALANA CINA/OFF";"V";"S";"";"260,91";"520";"0";"0";"7";"0";"";"";"05/04/2024";"27/05/2017";"13/09/2024";"104";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94036000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"¶Ä³ÆÂ³¶ÂÄÆ°±´Ì·°Ì±ÁÃÌ¶ÍÁÍ±³³ÄÅ±Ä";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"05/04/2024";"05/04/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"14";"60";"0";"SOFA CANTO VENUS 526";"V";"S";"";"1235,85";"2400";"0";"0";"0";"0";"26/05/2022";"0";"08/08/2023";"28/03/2017";"04/07/2024";"62";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94016100";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"°·°ÇÅÂ¶·±Ç·ÄÌÄ¶ÅÄÅÁ³ÌÁÃ¶ÄÌ±Ä°±Ä·";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"16/10/2023";"26/05/2022";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"15";"14";"0";"ESCRIVANINHA ANDORINHA NOBRE";"V";"S";"";"104";"240";"0";"0";"0";"0";"";"";"12/05/2021";"19/09/2024";"21/11/2022";"104";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"ÅÅÄÅÁÅÌ´·Á¶´ÌÍ´Ç°´±À±Á³³Â¶Ã³ÇÁ¶³";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"12/05/2021";"08/02/2023";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"18";"28";"0";"AEREO 1200 3P JACA/BCO G628";"V";"S";"";"259";"440";"0";"0";"0";"0";"09/10/2023";"0";"05/04/2024";"12/07/2011";"01/05/2024";"2";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"´ÀÃÅ¶ÀÅ±³³ÀÁÌ·Æ´¶ÁÍÆÇÌÁÌ´ÇÂÍÃ´Í·";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"03/09/2019";"03/09/2019";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"19";"10";"0";"SOFA MONTREAL 2,30 C059";"V";"S";"";"1200";"2400";"0";"0";"0";"0";"";"";"11/06/2021";"08/06/2020";"26/07/2022";"97";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"01";"UND";"";"";"False";"";"94016100";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"Ç·ÂÃÅÍÁÁ´ÀÂÁ±ÆÅ³Ä¶ÀÇÁÆÀÀÍÌ³ÀÇ´ÀÅ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"10/12/2020";"10/12/2020";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"20";"29";"0";"AEREO 120CM MAGNO BCO";"V";"S";"";"142";"290";"0";"0";"1";"0";"";"";"09/09/2020";"02/12/2011";"01/11/2023";"12";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"ÀÄÀ·ÍÍÆÍÅÇÁÌÅÌ³ÆÃ´ÆÁÄ·ÆÇÆÀ·Ç´Æ··";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"28/04/2020";"28/04/2020";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"22";"52";"0";"SOFA CAMA DOMUS 12116TERRACOTA";"V";"S";"";"661,86";"1390";"0";"0";"1";"0";"19/10/2010";"0";"05/09/2024";"";"12/07/2023";"37";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94016100";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"³°´ÇÄ´À±³¶´ÅÇÅ·±ÌÁÍ°ÌÅ¶°·ÀÂÀÂÆÍ±";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"05/09/2024";"05/09/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"23";"25";"0";"AEREO IMPERATRIZ 120 FREIJO";"V";"S";"";"391,91";"790";"0";"0";"4";"0";"08/04/2022";"0";"22/08/2023";"24/11/2011";"03/10/2024";"34";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"³°¶ÂÀ¶ÃÆÃÃ´Ç´³³Å´À·ÂÄ³ÆÇ´³³¶´Í³Æ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"17/10/2023";"09/02/2023";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"24";"27";"0";"BALCAO AGATA CARV/OFF 1365MM";"V";"S";"";"435,46";"870";"0";"0";"3";"0";"";"";"14/04/2023";"23/12/2022";"29/10/2022";"82";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"ÇÍ³ÀÇÍÂ±ÇÍÇ´ÍÌ³ÄÅÂ±¶Å´Ì´³Ä¶ÀÂÄÍ±";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"09/10/2023";"03/10/2019";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"26";"50";"0";"MESA CRONOS 1,35X1,35 6CADARES SUEDY CAPUCCINO";"V";"S";"";"1478,3";"2950";"0";"0";"0";"0";"13/10/2023";"0";"25/06/2024";"24/06/2013";"29/06/2024";"35";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94034000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"ÍÇÂ³·ÇÅ·ÌÄÆÁÅÇÌÄÌ±Ì³ÀÀÁÁ±ÂÍ³°ÆÄÇ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"25/06/2024";"02/11/2019";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"30";"24";"0";"ROUPEIRO CRAVO 4P JEQUITIBA BRILHO";"V";"S";"";"685";"1390";"0";"0";"3";"0";"";"";"15/08/2024";"11/07/2011";"31/05/2024";"10";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94035000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"Ç°ÁÆÆ±³··Ç°ÇÆ·³Ì°ÃÅÂ·Ç·Á³±±·ÇÀÇÁ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"15/08/2024";"15/08/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"34";"10";"0";"SOFA 3 L ETNA CAFE";"V";"S";"";"710";"1380";"0";"0";"2";"0";"19/10/2010";"0";"27/02/2023";"07/07/2020";"12/01/2022";"21";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94016100";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"¶Ã´³ÍÂ¶Å±Ç³·Â³°ÌÅ´Ã´°ÃÂ±°·ÆÇ³ÌÆ³";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"17/06/2022";"17/06/2022";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"35";"42";"0";"MESA CABECEIRA LOOP AMEND/SALVIA";"V";"S";"";"197,26";"390";"0";"0";"2";"0";"";"";"10/05/2024";"20/04/2022";"22/10/2013";"120";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94035000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"·°³ÄÂÄ±´±±ÁÁÂÇ´ÇÍÃÃÂÍÂ³ÁÅÇ¶ÁÀÁÀÀ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"10/05/2024";"10/05/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"37";"36";"0";"COMODA EMAS BRANCO";"V";"S";"";"374";"740";"0";"0";"2";"0";"30/05/2023";"0";"30/05/2023";"02/04/2019";"19/04/2017";"115";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94035000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"ÂÀÅ³´´ÅÂÀ±´Ç´Â¶ÆÀÍ´Ä·Ç¶ÃÃÄ³ÆÇ±´Æ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"09/10/2024";"09/10/2024";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"38";"16";"0";"BANCADA JB 5707 PEROLA/CARAMELO";"V";"S";"";"228,9";"390";"0";"0";"0";"0";"19/10/2010";"0";"12/05/2021";"08/03/2021";"27/05/2022";"8";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94036000";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"A";"T";"";"Ç±ÆÇ¶°±°¶³³´ÃÌÃÂ±·ÄÇ´°³¶´ÁÌ³°ÆÌ·";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"09/10/2023";"14/08/2018";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
"39";"26";"0";"PAINEL ESTOFADO LUCCA TURIM07";"V";"S";"";"43";"79";"0";"0";"0";"0";"19/10/2010";"0";"11/09/2019";"24/01/2020";"05/09/2019";"69";"False";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"03";"UND";"";"";"False";"";"94035000";"";"";"";"0";"0";"";"";"";"";"";"0";"False";"0";"";"0";"0";"A";"T";"";"ÅÌÇÇÆÄÁ°¶·Æ±³ÇÂÀÀÆ¶°Ã¶ÍÅÃÃ°±ÀÇÁÀ";"";"";"";"";"";"";"False";"";"";"";"0";"";"";"";"";"";"";"";"";"1";"25/04/2019";"25/04/2019";"";"";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"0";""
